registration_number,animal_name,birth_date,breed_makeup,sire_reg_num,sire_name,dam_reg_num,dam_name,ced_epd,ced_epd_accuracy,bw_epd,bw_epd_accuracy,ww_epd,ww_epd_accuracy,yw_epd,yw_epd_accuracy,rea_epd,rea_epd_accuracy,imf_epd,imf_epd_accuracy,fat_epd,fat_epd_accuracy,scrotal_circumference_epd,scrotal_circumference_epd_accuracy,heifer_pregnancy_epd,heifer_pregnancy_epd_accuracy,cem_epd,cem_epd_accuracy,tm_epd,tm_epd_accuracy,milk_epd,milk_epd_accuracy,stayability_epd,stayability_epd_accuracy,cow_weight_epd,cow_weight_epd_accuracy,terminal_index,fertility_index
R10436553,FC MS COMPLETE 123G,2019-12-28,100% Brangus,R10334822,OAKS COMPLETE 541D27,R10287183,OAKS MS PASSPORT 123C2,4.01703994225845,0.256260423433958,2.9778258005524,0.352860231103468,37.1311495241747,0.277713635921415,65.4719516857421,0.150671468053071,0.499809817220266,0.159991734868481,0.155220504574567,0.1277934817485,-0.043717391445978,0.141073688922941,1.13169975991919,0.131217075768941,2.05806674098292,0.083760808415351,4.16833242651073,0.12809444434093,24.0890110864477,0.17023036061236,5.52343632436032,0.116488722957833,0.119080505897701,0.019199894984045,-6.52583487563392,0.056048059229506,2.95976100145742,0.823219832918661
R10437299,FC MS COMPLETE 541G20,2019-11-02,100% Brangus,R10334822,OAKS COMPLETE 541D27,R10368423,OAKS MS GRANITE 541E17,3.7691780015049,0.315264845935247,1.95858787715336,0.42510095960124,40.840846254987,0.343979290952988,79.3644504523319,0.280523888542623,0.593728244039465,0.365598915021454,0.217052784813382,0.280838999329963,-0.034096518883791,0.334808304625379,0.718597406202996,0.309758421089245,2.77322266897799,0.093664046735301,3.03747604955756,0.270933366415355,30.2848645947102,0.278172444275038,9.86444146721668,0.245269020936064,0.50866220090392,0.01898614474492,-6.77495997402695,0.037040442791873,3.74190484316265,1.63131441031937
R10334865,OAKS GRANITE 99D7,2016-09-04,100% Brangus,UB10275960,MC GRANITE 834B,R10203684,OAKS MS CSONKA 99Y12,8.38891965972558,0.443507300988798,-1.26024532906473,0.576439075115992,30.4408942907932,0.475439226283484,64.1100087414583,0.375109370499425,0.542515031655563,0.483824706704011,0.125001106197235,0.39095164346323,-0.025267187420906,0.455850208646247,-0.115128200444621,0.442816840965864,2.45649776138599,0.151803515693545,4.3863222336494,0.346784456380516,25.8389737368734,0.373659317739551,10.6185265914768,0.322769363467584,0.475148834954864,0.036891291471624,-2.22848616679198,0.049047723430514,3.19452545137105,1.23632549614824
R10368428,OAKS MS GRANITE 541E20,2017-08-28,100% Brangus,UB10275960,MC GRANITE 834B,R10277905,OAKS MS NUFF SAID 541B69,4.84183575846437,0.447723543412836,1.02310125488606,0.578378864559707,36.8146132070492,0.481881792009535,74.2648686107127,0.346785959308114,0.554500925236134,0.456014202808076,0.204381956314044,0.367970097207814,-0.016663884640238,0.427790009904323,0.432994735541294,0.371147803503842,3.206613816821,0.2529030813456,3.4582376861521,0.347727631500855,30.9550506335006,0.379099656504801,12.547744029976,0.327708588752434,1.32461657351488,0.058013109865107,-0.664684606990041,0.119296121375608,3.55519870688184,2.10738343413469
R10315895,OAKS MS ONLINE 1302D8,2016-01-26,100% Brangus,R10193636,VF-OAKS ONLINE 918Y3,R10263601,OAKS MS HOMBRE 1302B7,4.12148868067711,0.324941744538207,2.24887749728473,0.416519722068709,27.3251207248118,0.331159933043374,42.6821833449446,0.272320988114897,0.293452012597797,0.343898757635232,0.125225903948142,0.273157404977908,-0.061443733312159,0.319810433235892,1.55568082318622,0.195791429614607,2.05121385019488,0.214609256075997,3.3186620875923,0.286340945646214,14.5632152599705,0.264974035432528,0.900654897564656,0.231881086627105,0.536540392735974,0.04114441359626,-1.95006443044841,0.112824351154203,2.01179269130288,0.213789076032275
R10376556,OAKS MS SOLUTION 541F12,2018-03-02,100% Brangus,R10277762,OAKS SOLUTION 99B66,R10229239,OAKS MS HOMBRE 541Z90,2.18664721523149,0.42738529300126,3.78408123852133,0.569673317883585,30.4285396654357,0.427971489373181,53.8845223302571,0.318817267186052,0.230947775813396,0.418971174588616,0.106711339205281,0.329241894844595,-0.030277041494833,0.388914695252518,0.570066767091256,0.353648038258816,1.28260466814949,0.107624152327135,3.81486076855354,0.332218134823786,19.2644212257366,0.355694891405836,4.05015139301877,0.319556592422164,-0.196305735937408,0.042708574852621,-4.82622622056578,0.067323699077349,2.16608227665486,0.383943491056351
R10425772,FC MS SOLUTION 209G,2019-06-03,100% Brangus,R10277762,OAKS SOLUTION 99B66,R10277930,OAKS MS LTD 209B11,1.57494032192513,0.259110903508625,3.88841077172947,0.336135853253475,35.5295497720507,0.20609071075321,69.2290965487562,0.163088687373929,0.556751357268422,0.175748722650099,0.178170390750327,0.147350453347159,-0.026328827311678,0.162061345979365,0.797483644500664,0.135294820629295,1.49117319931269,0.101740816850972,3.77255966103969,0.163028294084601,28.1011042746097,0.156836680366141,10.3363293885843,0.132209665172607,-0.695266495563662,0.04736891018888,-8.46771898128873,0.070810306996307,3.09541402088517,0.704178842665128
R10376580,OAKS LEGACY 392F6,2018-03-22,100% Brangus,R10264870,LEGACY 302A4,R10261057,OAKS MS CSONKA 392B5,8.09452936426147,0.434044290648282,0.257521183131843,0.571390887092863,23.9503606628787,0.433422642501284,52.3629299068918,0.32985913764593,0.61718954348891,0.423609464493817,0.173759171264311,0.339122596090552,-0.036419915660233,0.395034424083964,0.970005738082046,0.363495447837364,2.18672552896503,0.133570541778034,3.40067238896697,0.328696870591247,24.491951633294,0.354153716223968,12.5167713018546,0.314519253085309,-0.592111833077463,0.058158337750208,-3.95724648002603,0.077370510785132,2.83272691395998,0.585652779021785
R10425764,FC SOLUTION 804G,2019-02-04,100% Brangus,R10277762,OAKS SOLUTION 99B66,R10277949,OAKS MS CORONADO 804B1,4.90982046144528,0.271465060731495,1.62789371797979,0.360852257860564,31.2504040296224,0.2900904498666,54.3663000081873,0.175866029258662,0.37266790462649,0.198504493250859,0.160187786236593,0.158001486037154,-0.036438926559686,0.178112172366434,0.38120176481177,0.135305966893062,2.07247981593972,0.108435337119883,3.61112630134451,0.159993384130497,23.7644004121249,0.19084518658068,8.13919839731368,0.14122255493772,0.149552252517715,0.034415837914186,-3.25688516317793,0.055974241564615,2.60524055878216,0.721742995257965
R10413008,MS SALACOA BIG TOWN 23F77,2018-11-06,100% Brangus,R10266676,BWCC BIG TOWN 192B16,R10274936,MS SALACOA STONEWALL 23B69,7.7008288467291,0.382262558484215,-0.823438195130898,0.504539938575164,31.9060744786386,0.417716284895879,60.5675019610583,0.338122812456053,0.647521031762098,0.451663454906623,0.182855068656308,0.360389311360849,-0.022614221749549,0.42266387828184,0.526237120189262,0.337167451164512,2.85468371806932,0.151927619647515,3.35828853921388,0.317141591125507,31.7754858026713,0.338344383084217,15.822448563352,0.298658432178386,0.844145907623528,0.032237994617155,-6.01633876402985,0.059106765856816,3.25924256926675,2.00464853718891
