ASA_Nbr,Tattoo,Name,Brth_Dt,Sex,Sire_Nbr,Sire,Dam_Id,GE,Color,API,%_Rank,Ti,%_Rank,CE_Epd,%_Rank,B_Wt_Epd,%_Rank,W_Wt_Epd,%_Rank,Y_Wt_Epd,%_Rank,MCE_Epd,%_Rank,Mlk_Epd,%_Rank,MWW_Epd,%_Rank,Stay_Epd,%_Rank,C_Wt_Epd,%_Rank,Marb_Epd,%_Rank,YG_Epd,%_Rank,BF_Epd,%_Rank,REA_Epd,%_Rank
3596503,9085G,9085G,3/6/2019,B,3253242,SCHULER RED 44 RSH-B357 D390,E111,true,R,144.4,15,73.5,30,19.9,1,-4.1,2,62.3,65,87.7,75,13.6,1,26.2,15,57.3,35,18,20,34.9,30,0.3,45,-0.1,90,-0.023,85,0.47,80
3596581,9087G,9087G,3/6/2019,B,3410510,CONNEALY LEGENDARY 644L,B051,true,B,146,10,81.4,10,11.8,50,0.4,45,68.5,35,104.7,40,3.6,90,18.8,80,53,60,14.3,65,45.1,10,0.74,2,-0.07,95,0.002,95,0.7,35
3596573,9088G,9088G,3/6/2019,B,2954741,GW TRIPLE CROWN 018C,A161,true,B,152,5,83.4,4,11.2,60,-0.4,30,73,20,118.7,15,2.8,95,24.8,25,61.2,15,18.7,15,41.4,15,0.6,10,-0.23,50,-0.046,55,0.79,20
3596566,9089G,9089G,3/6/2019,B,2930104,RFS BULLETPROOF B42,A084,true,R,132.5,30,73.5,30,11.2,60,0.9,60,72.1,25,114.4,20,7.2,35,22,50,58,30,17.6,25,34.6,30,0.29,50,-0.08,90,-0.019,90,0.42,90
3596464,9091G,9091G,3/7/2019,B,2954741,GW TRIPLE CROWN 018C,D220,true,B,143.2,15,80.4,10,12.4,45,0.5,50,68.7,35,112.8,20,6.6,45,19.8,70,54,55,13.8,75,33.2,35,0.66,3,-0.13,80,-0.012,90,0.63,50
3596549,9093G,9093G,3/7/2019,B,2954741,GW TRIPLE CROWN 018C,Y188,true,B,163.1,2,83.1,4,13.8,25,-0.6,25,68.2,40,105.5,35,7,40,20.3,65,54.3,55,20.5,4,28.2,60,0.73,2,-0.14,80,-0.022,85,0.53,70
3596585,9095G,9095G,3/7/2019,B,2930104,RFS BULLETPROOF B42,B096,true,R,137.6,25,72.9,35,11,60,0.4,45,70.4,30,113.7,20,7.1,35,24.9,25,60.1,20,20.9,3,38.7,20,0.24,60,-0.21,55,-0.017,90,0.91,10
3596462,9096G,9096G,3/8/2019,B,3410510,CONNEALY LEGENDARY 644L,D211,true,B,175.2,1,92.5,1,14.6,20,-0.2,35,60.7,70,94.6,60,8.2,20,23.7,45,54,55,13.2,75,46.8,4,0.91,1,-0.02,95,0.028,95,0.78,20
3596411,9100G,9100G,3/8/2019,B,2675742,WS PRIME BEEF Z8,C147,true,R,137.5,25,74.4,30,12.5,40,-0.7,25,66.5,45,101,45,7.6,30,22.2,50,55.4,45,17.2,30,30,50,0.34,40,-0.32,25,-0.045,60,0.9,10
3610914,9101G,9101G,3/8/2019,B,2471391,GW LUCKY BOY 252U,B024,false,B,142.2,15,84.4,2,14,25,-0.4,30,80.6,5,130.1,3,8.2,20,24.3,30,64.6,10,14.4,65,48.6,3,0.47,20,-0.09,90,0.004,95,0.83,15
3596445,9105G,9105G,3/9/2019,B,2675742,WS PRIME BEEF Z8,D100,true,R,149.1,10,77.2,20,17.3,5,-0.7,25,75.2,15,116.7,15,11,2,13.3,95,50.9,7,20.5,4,27.6,60,0.25,60,-0.29,35,-0.041,60,0.84,15
3596477,9109G,9109G,3/10/2019,B,3253242,SCHULER RED 44 RSH-B357 D390,E032,true,R,148.4,10,81.1,10,18.4,3,-2.4,10,71.2,25,100.2,45,8,25,22.9,45,58.4,30,15.5,50,28.3,60,0.5,15,-0.07,95,-0.028,80,0.25,95
3596574,9111G,9111G,3/11/2019,B,2675742,WS PRIME BEEF Z8,A164,true,R,139.9,20,70.9,45,13.3,30,-1.2,20,65.7,50,97.2,55,10.2,4,19,75,51.8,65,21,2,31,45,0.24,60,-0.15,75,-0.011,90,0.67,40
3596424,9138G,9138G,3/21/2019,B,3115102,D034,D015,true,R,139.7,20,70.6,45,17,10,-0.7,25,65.7,50,98.9,50,9.1,10,26,20,58.8,25,20,5,26.6,65,0.3,45,0.06,95,0.019,95,0.19,95
3596439,9142G,9142G,3/22/2019,B,2882135,A3R PIONEER 61Z 151B,D075,true,B,157.6,3,79.2,10,15.8,10,1.3,70,69.9,30,107.7,30,11.5,2,18.4,80,53.3,60,20.7,3,32,40,0.64,4,-0.07,95,0.005,95,0.54,70
3596395,9184G,9184G,3/30/2019,B,2882135,A3R PIONEER 61Z 151B,C049,true,B,147.7,10,83.2,4,13.6,30,2.9,95,80.7,5,127.4,4,7.8,25,16.6,90,56.9,35,16.4,40,41.8,10,0.62,5,-0.06,95,-0.002,95,0.59,60
3596461,9203G,9203G,4/3/2019,B,3338087,KSU ALL AROUND 6E,D210,true,R,133.1,30,74,30,12.5,40,1.6,75,77.2,10,114.3,20,7.9,25,12.3,95,50.8,70,18.4,20,28.2,60,0.23,60,-0.3,30,-0.058,40,0.72,30
